compound_id,SMILES,binding_mode_class,pic50,pic50_date,DATESOLVED,docking_folder,aminohetaryl_c1_amide_split,aryl_c1_amide_c2_hetaryl_split,temporal_2012_split,c1_hetaryl_alkyl_c2_hetaryl_split,temporal_2013_split,temporal_2011_split,random_split
0,Cn1ncc(C(=O)N2CCC2)c1C(=O)NCCc1nc(-c2cccc(F)c2)nn1-c1ccccc1,aryl_c1_amide_c2_hetaryl,9.1813697431744825,14-Nov-2011,08-Nov-11,5sf8_0,train,test,val,val,train,test,val
1,CCN(C)C(=O)c1cnn(C)c1C(=O)Nc1ccn2cc(-c3cccc(OCCCF)c3)nc2n1,aryl_c1_amide_c2_hetaryl,8.217885852520929,11-Apr-2011,21-Jul-10,5sfr_1,train,test,train,val,train,test,train
2,Cn1cncc1Cn1nc(-c2ccccn2)cc1NC(=O)c1nc(C2CC2)ccc1Nc1cncnc1,aminohetaryl_c1_amide,8.8198741248359456,11-Jan-2010,15-Jun-09,5sf4_2,test,train,train,train,train,train,train
3,COCCN(C)C(=O)c1cnn(C)c1C(=O)Nc1ccn2cc(-c3cccc(OCCCF)c3)nc2n1,aryl_c1_amide_c2_hetaryl,7.8203046166754933,11-Apr-2011,21-Jul-10,5sfr_3,train,test,train,val,train,test,train
4,CNC(=O)c1cc(CCc2nc(-c3ccccn3)cn2C)nn2c(C)c(C(F)(F)F)nc12,c1_hetaryl_alkyl_c2_hetaryl,8.096503243158946,15-Apr-2013,13-Oct-11,5sem_4,val,val,,test,test,,train
5,O=C(Nc1cc(-c2ccccn2)nn1Cc1ccccc1)c1nc(C2CC2)ccc1Nc1cncnc1,aminohetaryl_c1_amide,8.7659891824128207,14-Sep-2009,15-Jun-09,5sf4_5,test,train,train,train,train,train,val
6,O=C(Nc1cc(-c2ccc3ccccc3n2)nn1CCO)c1nc(C2CC2)ccc1Nc1cncnc1,aminohetaryl_c1_amide,10.049707206675019,21-Sep-2009,27-Jul-09,5se0_6,test,train,train,train,train,train,val
7,O=C(Nc1cc(-c2ccccn2)nn1CC1CCCCC1)c1nc(C2CC2)ccc1Nc1cncnc1,aminohetaryl_c1_amide,8.976747540366288,14-Sep-2009,15-Jun-09,5sf4_7,test,train,train,train,train,train,train
8,O=C(Nc1cc(-c2ccccn2)nn1CC1CCCC1)c1nc(C2CC2)ccc1Nc1cncnc1,aminohetaryl_c1_amide,8.950007143079857,14-Sep-2009,27-Jul-09,5se0_8,test,train,train,train,train,train,train
9,Cc1cc(CCc2nc(-c3ccccn3)cn2C)nn2c(C)c(C(F)(F)F)nc12,c1_hetaryl_alkyl_c2_hetaryl,8.42987014300335,15-Apr-2013,13-Oct-11,5sem_9,val,val,,test,test,,train
10,COCCn1cc(-c2ccccc2)nc1CCNC(=O)c1c(C(=O)N2CCC2)cnn1C,aryl_c1_amide_c2_hetaryl,8.5129141153932095,04-Jul-2011,16-May-11,5sfo_10,train,test,val,val,train,test,train
11,Cn1ncc(C(=O)N2CCC2)c1C(=O)Nc1ccn2nc(-c3ccccc3OCCCF)nc2c1,aryl_c1_amide_c2_hetaryl,9.52432881167557,15-Sep-2011,04-Feb-10,5se7_11,train,test,val,val,train,test,test
12,CN1CCC(n2nc(-c3ccccn3)cc2NC(=O)c2nc(C3CC3)ccc2Nc2cncnc2)CC1,aminohetaryl_c1_amide,8.3818472666214805,28-Jul-2009,15-Jun-09,5sf4_12,test,train,train,train,train,train,test
13,O=C(Nc1cc(-c2ccccn2)nn1C1CCCCC1)c1nc(C2CC2)ccc1Nc1cncnc1,aminohetaryl_c1_amide,8.878768544850378,14-Sep-2009,15-Jun-09,5sf4_13,test,train,train,train,train,train,train
14,Cn1ncc(C(=O)N2CCC2)c1C(=O)Nc1ccn2nc(-c3ccccc3OCCF)nc2c1,aryl_c1_amide_c2_hetaryl,9.4621809049267256,31-Aug-2011,04-Feb-10,5se7_14,train,test,val,val,train,test,train
15,Cc1c(C(F)F)nc2ccc(CCc3nc(-c4ccccc4)cn3C)nn12,c1_hetaryl_alkyl_c2_hetaryl,8.2516645346586053,28-Nov-2011,13-Oct-11,5sem_15,train,train,val,test,train,test,val
16,O=C(Nc1cc(-c2ccccn2)nn1CCN1CCOCC1)c1nc(C2CC2)ccc1Nc1cncnc1,aminohetaryl_c1_amide,8.8150248093017387,09-Nov-2009,15-Jun-09,5sf4_16,test,train,train,train,train,train,train
17,Cc1nc2ccccc2nc1CCc1nc(-c2ccccc2)cn1-c1ccccn1,c1_hetaryl_alkyl_c2_hetaryl,8.740645072691965,02-May-2011,12-Apr-11,5sec_17,train,train,train,test,train,test,val
18,O=C(Nc1cc(-c2ccccn2)nn1CCc1ccccc1)c1nc(C2CC2)ccc1Nc1cncnc1,aminohetaryl_c1_amide,8.3087416418668885,14-Sep-2009,15-Jun-09,5sf4_18,test,train,train,train,train,train,val
19,CN(CCO)c1nc(OCc2nc(-c3ccccc3)cn2C)nc2ccc(Cl)cc12,c1_hetaryl_alkyl_c2_hetaryl,8.5094796906366508,02-May-2011,09-Feb-11,5sed_19,train,train,train,test,train,test,train
20,CCN(C)C(=O)c1cnn(C)c1C(=O)Nc1ccn2cc(-c3cccc(OCC(=O)OC)c3)nc2n1,aryl_c1_amide_c2_hetaryl,8.100954766518938,29-Sep-2010,21-Jul-10,5sfr_20,train,test,train,train,train,train,train
21,Cn1ncc(C(=O)N2CCC2)c1C(=O)NCCc1nc(-c2ccccc2)nn1-c1cccnc1,aryl_c1_amide_c2_hetaryl,9.2968236013513024,07-Nov-2011,10-May-11,5se8_21,train,test,val,val,train,test,test
22,Cn1ncc(C(=O)N2CCC2)c1C(=O)NCCc1nc(-c2ccccc2)oc1-c1cccnc1,aryl_c1_amide_c2_hetaryl,8.738023808602187,13-Feb-2012,08-Nov-11,5sf8_22,train,test,test,val,train,,train
23,Cc1c(Cl)cc(OCC(=O)N2CCOCC2)c2nc(CCc3nc(N4CCCC4)nn3C)nn12,c1_hetaryl_alkyl_c2_hetaryl,8.683400697906139,13-Feb-2013,01-Feb-12,5sej_23,val,val,,test,test,,train
24,O=C(Nc1cc(-c2ccccn2)nn1C1CCOCC1)c1nc(C2CC2)ccc1Nc1cncnc1,aminohetaryl_c1_amide,8.8504729862456517,09-Nov-2009,15-Jun-09,5sf4_24,test,train,train,train,train,train,test
25,Cn1cc(-c2ccccc2)nc1CCc1ccc2nc(C(F)(F)F)cn2n1,c1_hetaryl_alkyl_c2_hetaryl,7.0819539281928574,13-Feb-2012,13-Oct-11,5sem_25,train,train,test,test,train,,train
26,CCN(C)C(=O)c1cnn(CCF)c1C(=O)Nc1ccn2cc(-c3ccccc3)nc2n1,aryl_c1_amide_c2_hetaryl,5.0,28-Sep-2010,21-Jul-10,5sfr_26,train,test,train,train,train,train,train
27,Cc1nc2ccc(CCc3nc(-c4ccccc4)cn3C)nn2c1CO,c1_hetaryl_alkyl_c2_hetaryl,7.6888397271208708,21-Feb-2012,19-Jul-11,5sf5_27,train,train,test,test,train,,val
28,Cn1ncc(C(=O)N2CCC2)c1C(=O)Nc1ccn2cc(-c3cccc(OCCCF)c3)nc2n1,aryl_c1_amide_c2_hetaryl,8.134067331806814,11-Apr-2011,21-Jul-10,5sfr_28,train,test,train,val,train,test,val
29,COCCn1nc(-c2ccccc2)nc1CCNC(=O)c1c(C(=O)N2CCC2)cnn1C,aryl_c1_amide_c2_hetaryl,6.5457984228959427,25-Jul-2011,10-May-11,5se8_29,train,test,val,val,train,test,train
30,Cn1ncc(C(=O)N2CCC2)c1C(=O)NCCc1nc(-c2ccccc2)nn1Cc1ccccc1,aryl_c1_amide_c2_hetaryl,8.431211787684653,31-Aug-2011,10-May-11,5se8_30,train,test,val,val,train,test,train
31,CN(CCOCCF)C(=O)c1cnn(C)c1C(=O)Nc1ccn2cc(-c3cccc(OCCF)c3)nc2n1,aryl_c1_amide_c2_hetaryl,7.0504050937406333,17-Aug-2010,21-Jul-10,5sfr_31,train,test,train,train,train,train,train
32,Cn1ncc(C(=O)N2CCC2)c1C(=O)NCCc1nc(-c2ccccc2)nn1CC1CC1,aryl_c1_amide_c2_hetaryl,8.247106845115406,02-Aug-2011,10-May-11,5se8_32,train,test,val,val,train,test,train
33,CN(C)CCn1nc(-c2ccccn2)cc1NC(=O)c1nc(C2CC2)ccc1Nc1cncnc1,aminohetaryl_c1_amide,8.980468315468744,14-Sep-2009,15-Jun-09,5sf4_33,test,train,train,train,train,train,train
34,Cc1cc(-n2nc(N3CCCC3)nc2CCc2nc3c(C(F)(F)F)cc(Cl)c(C)n3n2)ccn1,c1_hetaryl_alkyl_c2_hetaryl,8.9706322708561586,08-Apr-2013,01-Feb-12,5sej_34,val,val,,test,test,,test
35,CN(C)CCn1nc(NC(=O)c2nc(C3CC3)ccc2Nc2cncnc2)cc1-c1ccccn1,aminohetaryl_c1_amide,7.6223659657524077,28-Jul-2009,15-Jun-09,5sf4_35,test,train,train,train,train,train,val
36,Cn1cc(-c2ccccc2)nc1CCNC(=O)c1nc(C2CC2)cnc1Nc1cncnc1,aminohetaryl_c1_amide,7.792392558088086,24-Jan-2011,27-Apr-10,5sfl_36,test,train,train,train,train,test,val
37,COc1ccc(Cn2nc(CCc3nc4c(Cl)cc(Cl)c(C)n4n3)nc2N2CCCC2)cc1,c1_hetaryl_alkyl_c2_hetaryl,8.5876236666765275,18-Jun-2012,01-Feb-12,5sej_37,train,,test,test,val,,train
38,COC[C@H]1CCCN1c1nc(CCc2nc3c(C)ncc(C)n3n2)n(Cc2ccc(OC)cc2)n1,c1_hetaryl_alkyl_c2_hetaryl,7.825765695058978,08-Apr-2013,01-OCT-12,5sfi_38,val,val,,test,test,,train
39,CCN(C)C(=O)c1cnn(C)c1C(=O)Nc1ccn2cc(-c3cccc(OCCO)c3)nc2n1,aryl_c1_amide_c2_hetaryl,8.0548269538260997,15-Nov-2010,21-Jul-10,5sfr_39,train,test,train,train,train,val,train
40,Cc1cc(-n2nc(CCc3nc4c(C(F)(F)F)cc(Cl)c(C)n4n3)nc2N2CCCC2)ccn1,c1_hetaryl_alkyl_c2_hetaryl,8.007490664932224,08-Apr-2013,01-Feb-12,5sej_40,val,val,,test,test,,test
41,CCOC(=O)Cn1nc(-c2ccccn2)cc1NC(=O)c1nc(C2CC2)ccc1Nc1cncnc1,aminohetaryl_c1_amide,8.4273607029571864,11-Jan-2010,27-Jul-09,5se0_41,test,train,train,train,train,train,train
42,Cc1nc2c(C)c(C)c(CCc3nc(-c4ccccc4)cn3C)nn2c1C,c1_hetaryl_alkyl_c2_hetaryl,8.620513186282726,17-Aug-2011,19-Jul-11,5sf5_42,train,train,val,test,train,test,test
43,CN(C)C(=O)c1cnn(C)c1C(=O)Nc1ccn2cc(-c3cccc(OCCCF)c3)nc2n1,aryl_c1_amide_c2_hetaryl,8.1442991691645625,11-Apr-2011,21-Jul-10,5sfr_43,train,test,train,val,train,test,test
44,CC(C)Cn1nc(-c2ccccn2)cc1NC(=O)c1nc(C2CC2)ccc1Nc1cncnc1,aminohetaryl_c1_amide,8.9079815292472024,14-Sep-2009,15-Jun-09,5sf4_44,test,train,train,train,train,train,train
45,COCCN(C)C(=O)c1cnn(C)c1C(=O)Nc1ccn2cc(-c3cccc(OCCF)c3)nc2n1,aryl_c1_amide_c2_hetaryl,7.8979438074248112,27-Sep-2010,21-Jul-10,5sfr_45,train,test,train,train,train,train,train
46,Cn1nc(-c2ccc3ccccc3n2)cc1NC(=O)c1nc(C2CC2)ccc1Nc1cncnc1,aminohetaryl_c1_amide,10.101262356231333,28-Jul-2009,15-Jun-09,5sf4_46,test,train,train,train,train,train,val
47,Cc1c(Cl)cc(C(F)(F)F)c2nc(CCc3nc(N4CCCC4)nn3C3CCOCC3)nn12,c1_hetaryl_alkyl_c2_hetaryl,9.4609529247967945,21-Jan-2013,01-Feb-12,5sej_47,val,val,,test,test,,train
48,CC(C)n1ncc2cc(CCc3nc(-c4ccccc4)cn3C)ncc21,c1_hetaryl_alkyl_c2_hetaryl,6.0658647910079223,28-Mar-2011,24-Sep-10,5se2_48,train,train,train,test,train,test,train
49,Cn1ncc(C(=O)N2CCC2)c1C(=O)NCCc1nc(-c2ccccc2)nn1CC(F)(F)F,aryl_c1_amide_c2_hetaryl,7.366272493072591,15-Sep-2011,10-May-11,5se8_49,train,test,val,val,train,test,train
50,Cc1c(Cl)cc(OCCN2CCOCC2)c2nc(CCc3nc(N4CCCC4)nn3C)nn12,c1_hetaryl_alkyl_c2_hetaryl,8.8642314854321773,14-Jan-2013,01-Feb-12,5sej_50,val,val,,test,test,,val
51,COCCN(C)C(=O)c1cnn(C)c1C(=O)Nc1ccn2cc(-c3cccc(OCF)c3)nc2n1,aryl_c1_amide_c2_hetaryl,7.7215207769536773,27-Sep-2010,21-Jul-10,5sfr_51,train,test,train,train,train,train,train
52,Cn1cc(-c2ccccc2)nc1CCc1nc2cccc(Cl)c2c(=O)[nH]1,c1_hetaryl_alkyl_c2_hetaryl,6.9127902115846346,16-May-2011,24-Sep-10,5se2_52,train,train,train,test,train,test,test
53,COCCn1nc(-c2ccccn2)cc1NC(=O)c1nc(C2CC2)ccc1Nc1cncnc1,aminohetaryl_c1_amide,9.742321425130815,19-Jan-2010,27-Jul-09,5se0_53,test,train,train,train,train,train,train
54,Cn1cc(-c2ccccc2)nc1CCc1nc(N2CCOCC2)c2cc(Cl)ccc2n1,c1_hetaryl_alkyl_c2_hetaryl,8.9653715433746792,04-Apr-2011,09-Feb-11,5sed_54,train,train,train,test,train,test,val
55,CN(C)c1nc(CCc2nc(-c3ccccc3)cn2C)nc2ccc(Cl)cc12,c1_hetaryl_alkyl_c2_hetaryl,8.487715936718146,11-Apr-2011,24-Sep-10,5se2_55,train,train,train,test,train,test,test
56,N#CCCn1nc(-c2ccccn2)cc1NC(=O)c1nc(C2CC2)ccc1Nc1cncnc1,aminohetaryl_c1_amide,6.769221650723183,11-Jan-2010,15-Jun-09,5sf4_56,test,train,train,train,train,train,train
57,Cc1c(C#N)ccc2nc(CCc3nc(N4CCCC4)nn3C)nn12,c1_hetaryl_alkyl_c2_hetaryl,8.45979570015794,25-Jun-2012,04-Jun-12,5seu_57,train,val,test,test,val,,test
58,CCCn1nc(-c2ccccn2)cc1NC(=O)c1nc(C2CC2)ccc1Nc1cncnc1,aminohetaryl_c1_amide,8.7739158840241758,14-Sep-2009,15-Jun-09,5sf4_58,test,train,train,train,train,train,train
59,Cn1cc(-c2ccccc2)nc1COc1ncc(C2CC2)nc1C(=O)NCc1ccccc1,c1_hetaryl_alkyl_c2_hetaryl,7.2407931296686523,09-May-2011,04-May-11,5sfa_59,train,train,train,test,train,test,train
60,CC(C)n1nc(-c2ccccn2)cc1NC(=O)c1nc(C2CC2)ccc1Nc1cncnc1,aminohetaryl_c1_amide,8.5927791070726034,14-Sep-2009,15-Jun-09,5sf4_60,test,train,train,train,train,train,train
61,Cc1nc(C(=O)N2CCC2)c(C(=O)NCCc2nc(-c3ccccc3)cn2C)n1C,aryl_c1_amide_c2_hetaryl,7.0656076103588987,04-Jul-2011,16-May-11,5sfo_61,train,test,val,val,train,test,train
62,Cc1nc2ccccc2nc1CCc1nc(-c2ccccc2)cn1CC1CC1,c1_hetaryl_alkyl_c2_hetaryl,8.0317973318571503,02-May-2011,24-Sep-10,5sek_62,train,train,train,test,train,test,train
63,Cn1cc(-c2ccccc2)nc1CCc1ccc2nc(C3CC3)c(CO)n2n1,c1_hetaryl_alkyl_c2_hetaryl,6.18337099178816754,07-Nov-2011,19-Jul-11,5sf5_63,train,train,val,test,train,test,val
64,Cn1cc(-c2ccccc2)nc1/C=C/c1nc(N2CCOCC2)c2cc(Cl)ccc2n1,c1_hetaryl_alkyl_c2_hetaryl,8.8814046347762376,04-Apr-2011,09-Feb-11,5sed_64,train,train,train,test,train,test,train
65,COCCN(C)C(=O)c1cnn(C)c1C(=O)Nc1ccn2cc(-c3cccc(OC)c3)nc2n1,aryl_c1_amide_c2_hetaryl,7.6569460770871514,24-Aug-2010,21-Jul-10,5sfr_65,train,test,train,train,train,train,test
66,Cn1ncc(C(=O)N2CCC2)c1C(=O)Nc1ccn2nc(-c3cccc(OCCF)n3)nc2c1,aryl_c1_amide_c2_hetaryl,8.270754192774693,12-Dec-2011,04-Feb-10,5se7_66,train,test,val,val,train,test,test
67,COc1cccc(-c2cn(C)c(CCNC(=O)c3c(C(=O)N4CCC4)cnn3C)n2)c1,aryl_c1_amide_c2_hetaryl,7.414629522877922,27-Jun-2011,16-May-11,5sfo_67,train,test,val,val,train,test,train
68,CN(C(=O)c1cnn(C)c1C(=O)NCCc1nc(-c2ccccc2)cn1C)C1CCCC1,aryl_c1_amide_c2_hetaryl,7.2658164578473317,14-Nov-2011,16-May-11,5sfo_68,train,test,val,val,train,test,train
69,O=C(Nc1cc(-c2ccc(Cl)cn2)nn1CCO)c1nc(C2CC2)ccc1Nc1cncnc1,aminohetaryl_c1_amide,8.798329820353418,14-Sep-2009,27-Jul-09,5se0_69,test,train,train,train,train,train,val
70,Cc1cc(Cl)cc2c(=O)[nH]c(CCc3nc(-c4ccccc4)cn3C)nc12,c1_hetaryl_alkyl_c2_hetaryl,7.0908292302919624,30-May-2011,24-Sep-10,5se2_70,train,train,val,test,train,test,train
71,Cn1ncc(C(=O)N2CCC2)c1C(=O)Nc1ccn2nc(-c3ccccc3OCF)nc2c1,aryl_c1_amide_c2_hetaryl,8.7607005208731072,05-Oct-2011,04-Feb-10,5se7_71,train,test,val,val,train,test,test
72,Cc1nc2ccccc2nc1CCc1nc(-c2ccccc2)cn1CC(F)(F)F,c1_hetaryl_alkyl_c2_hetaryl,6.7488194287909011,02-May-2011,24-Sep-10,5sek_72,train,train,train,test,train,test,train
73,CCN(C)C(=O)c1cnn(C)c1C(=O)Nc1ccn2cc(-c3cccc(O)c3)nc2n1,aryl_c1_amide_c2_hetaryl,8.4592952166892372,06-Dec-2010,21-Jul-10,5sfr_73,train,test,train,train,train,val,train
74,Cc1cccc2c(=O)[nH]c(CCc3nc(-c4ccccc4)cn3C)nc12,c1_hetaryl_alkyl_c2_hetaryl,7.8305607010210585,30-May-2011,24-Sep-10,5se2_74,train,train,val,test,train,test,test
75,Cc1nc(C(=O)N2CCC2)c(C(=O)Nc2ccn3nc(-c4ccccc4)nc3c2)n1C,aryl_c1_amide_c2_hetaryl,7.6994914706567084,10-Jan-2011,04-Feb-10,5se7_75,train,test,train,train,train,test,val
76,Cn1ncc(C(=O)N2CCC2)c1C(=O)Nc1ccn2nc(-c3cccc(OCCF)c3)nc2c1,aryl_c1_amide_c2_hetaryl,9.0479222925652456,24-Jan-2011,04-Feb-10,5se7_76,train,test,train,train,train,test,val
77,O=C(Nc1cc(-c2cccc(Cl)n2)nn1CCO)c1nc(C2CC2)ccc1Nc1cncnc1,aminohetaryl_c1_amide,8.85078088734462,14-Sep-2009,27-Jul-09,5se0_77,test,train,train,train,train,train,train
78,Cn1ncc(C(=O)N2CCC2)c1C(=O)NCCc1nc(-c2ccccc2)nn1C1CC1,aryl_c1_amide_c2_hetaryl,8.467245621007502,17-Oct-2011,10-May-11,5se8_78,train,test,val,val,train,test,train
79,Cc1c(C#N)nc2ccc(C#Cc3nc(-c4ccccc4)cn3C)nn12,c1_hetaryl_alkyl_c2_hetaryl,8.8958544494459915,16-Jan-2012,14-Dec-11,5sf1_79,train,train,test,test,train,,train
80,CN(C(=O)c1cnn(C)c1C(=O)NCCc1nc(-c2ccccc2)cn1C)C1CCC1,aryl_c1_amide_c2_hetaryl,8.1301231867332335,14-Nov-2011,16-May-11,5sfo_80,train,test,val,val,train,test,val
81,COCCN(C)C(=O)c1cnn(C)c1C(=O)Nc1ccn2cc(-c3cccc(F)n3)nc2n1,aryl_c1_amide_c2_hetaryl,6.7863839734140219,07-Feb-2011,21-Jul-10,5sfr_81,train,test,train,train,train,test,test
82,Cc1nn2ccc(CCc3nc(-c4ccccc4)cn3C)nc2c1C,c1_hetaryl_alkyl_c2_hetaryl,8.311046537362582,05-Dec-2011,19-Jul-11,5sf5_82,train,train,val,test,train,test,train
83,Cc1c(Cl)cc(C(F)(F)F)c2nc(CCc3nc(N4CCCC4)n(C4CC4)n3)nn12,c1_hetaryl_alkyl_c2_hetaryl,8.8027194418743804,18-Mar-2013,01-Feb-12,5sej_83,val,val,,test,test,,test
84,Cn1ncc(C(=O)NCCOCCO)c1C(=O)Nc1ccn2nc(-c3ccccc3)nc2c1,aryl_c1_amide_c2_hetaryl,7.86053022441057,18-Jun-2012,08-May-12,5ser_84,train,test,test,val,val,,val
85,COc1cccc(-c2nc3cc(NC(=O)c4c(C(=O)N5CCC5)cnn4C)ccn3n2)c1,aryl_c1_amide_c2_hetaryl,9.512861624522813,14-Dec-2010,04-Feb-10,5se7_85,train,test,train,train,train,val,train
86,O=C(Nc1ccn2nc(-c3ccccc3)nc2c1)c1cc(Cl)nc(N2CCCCC2)c1,aryl_c1_amide_c2_hetaryl,7.2811330927096936,27-Jun-2011,23-May-11,5sez_86,train,test,val,val,train,test,train
87,CCn1cc(-c2ccccc2)nc1CCc1nc2ccccc2nc1C,c1_hetaryl_alkyl_c2_hetaryl,7.3920519839587198,04-Apr-2011,24-Sep-10,5sek_87,train,train,train,test,train,test,train
88,O=C(Nc1cc(-c2ccccn2)nn1CC(F)(F)F)c1nc(C2CC2)ccc1Nc1cncnc1,aminohetaryl_c1_amide,8.5958507507903046,11-Jan-2010,15-Jun-09,5sf4_88,test,train,train,train,train,train,test
89,CN(C)c1nc(OCc2nc(-c3ccccc3)cn2C)nc2ccc(Cl)cc12,c1_hetaryl_alkyl_c2_hetaryl,8.434624497285926,15-Mar-2011,09-Feb-11,5sed_89,train,train,train,test,train,test,train
90,CCn1nc(-c2ccccn2)cc1NC(=O)c1nc(C2CC2)ccc1Nc1cncnc1,aminohetaryl_c1_amide,8.325598187154718,11-Jan-2010,15-Jun-09,5sf4_90,test,train,train,train,train,train,test
91,COCc1ccc(Nc2cncnc2)c(C(=O)Nc2cc(-c3ccccn3)nn2CCO)n1,aminohetaryl_c1_amide,8.280585840297406,21-Sep-2009,27-Jul-09,5se0_91,test,train,train,train,train,train,train
92,Cn1cc(-c2ccccc2)nc1CCNC(=O)c1cccn2c(C3CC3)nnc12,aryl_c1_amide_c2_hetaryl,7.3683736221711713,19-Mar-2012,16-May-11,5sfo_92,train,test,test,val,val,,val
93,Cn1cc(-c2ccccc2)nc1CCc1nc2ccc(Cl)cc2c(=O)[nH]1,c1_hetaryl_alkyl_c2_hetaryl,8.03919637508823,23-May-2011,24-Sep-10,5se2_93,train,train,train,test,train,test,val
94,Cn1cc(-c2ccccc2)nc1CCc1nc(-c2ccccc2)cc(=O)[nH]1,c1_hetaryl_alkyl_c2_hetaryl,6.0052505281549942205,07-Mar-2011,24-Sep-10,5se2_94,train,train,train,test,train,test,train
95,CN(c1cncnc1)c1ccc(C2CC2)nc1C(=O)N[C@@H]1CCN(c2ccc(Br)cn2)C1,aminohetaryl_c1_amide,5.0786973815772771,07-Apr-2010,14-Oct-09,5sfg_95,test,train,train,train,train,train,train
96,Cn1ncc(C(=O)N2CCC2)c1C(=O)Nc1ccn2nc(-c3cccc(OCF)c3)nc2c1,aryl_c1_amide_c2_hetaryl,9.068376648410916,24-Jan-2011,04-Feb-10,5se7_96,train,test,train,train,train,test,train
97,COc1ccc(Cn2nc(N3CCCC3)nc2CCc2nc3c(Cl)cc(Cl)c(C)n3n2)cc1,c1_hetaryl_alkyl_c2_hetaryl,9.1975037929801218,18-Jun-2012,01-Feb-12,5sej_97,train,train,test,test,val,,test
98,Cn1cc(-c2ccccc2)nc1CCc1nc2ccccc2nc1N1CCCC1,c1_hetaryl_alkyl_c2_hetaryl,8.4633800934352763,20-Dec-2010,24-Sep-10,5sek_98,train,train,train,test,train,val,train
99,Cc1cc(CNC(=O)c2cnn(C)c2C(=O)Nc2ccn3cc(-c4ccccc4)nc3n2)n[nH]1,aryl_c1_amide_c2_hetaryl,7.7772315206514198,17-Aug-2010,20-Jul-10,5sf3_99,train,test,train,train,train,train,train
100,Cn1cc(-c2ccccc2)nc1COc1nc(OC2CCOCC2)c2cc(Cl)ccc2n1,c1_hetaryl_alkyl_c2_hetaryl,7.8061799739838869,04-Apr-2011,09-Feb-11,5sed_100,train,train,train,test,train,test,test
101,O=C(Nc1ccn2nc(-c3ccccc3)nc2c1)c1cc(Cl)nc(NC2CC2)c1,aryl_c1_amide_c2_hetaryl,8.2131743111534448,11-Jul-2011,09-Feb-11,5se3_101,train,test,val,val,train,test,train
102,O=C(NCCc1cnc(-c2ccccc2)[nH]1)c1nc(C2CC2)ccc1Nc1cncnc1,aminohetaryl_c1_amide,8.675451255051176,02-Nov-2009,14-Oct-09,5sfg_102,test,train,train,train,train,train,train
